service_center,appointment_type,channel,scheduled_date,technician_utilization_pct,outcome_status
"Fremont, CA",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-11,87.9,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-04-11,77.1,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-04-11,75.3,Cancelled
"Toronto, ON",Alignment,Service Center,2026-04-11,90.9,Rescheduled
"Seattle, WA",12V Battery Service,Mobile Service,2026-04-11,90.8,Rescheduled
"Fremont, CA",Collision Repair,Service Center,2026-04-11,100.0,Completed
"Fremont, CA",Warranty Repair,Mobile Service,2026-04-11,80.2,Rescheduled
"Denver, CO",Collision Repair,Mobile Service,2026-04-11,78.7,Rescheduled
"Seattle, WA",Collision Repair,Mobile Service,2026-04-11,59.0,Completed
"Austin, TX",Collision Repair,Mobile Service,2026-04-11,79.2,Cancelled
"Toronto, ON",Tire Rotation,Collision Center,2026-04-11,59.1,Completed
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-04-11,85.9,Rescheduled
"Chicago, IL",Warranty Repair,Mobile Service,2026-04-11,70.8,Cancelled
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-04-11,76.2,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Mobile Service,2026-04-11,76.9,Rescheduled
"Austin, TX",Collision Repair,Mobile Service,2026-04-11,96.3,Rescheduled
"Austin, TX",Alignment,Service Center,2026-04-11,62.8,Completed
"Denver, CO",Alignment,Service Center,2026-04-11,62.2,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-04-11,97.9,Rescheduled
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-04-11,84.3,Cancelled
"Austin, TX",12V Battery Service,Service Center,2026-04-11,87.3,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-04-11,78.5,Completed
"Denver, CO",Tire Rotation,Service Center,2026-04-11,84.0,Completed
"Seattle, WA",Tire Rotation,Collision Center,2026-04-11,92.1,Rescheduled
"Denver, CO",Tire Rotation,Service Center,2026-04-11,75.3,Cancelled
"Seattle, WA",Warranty Repair,Service Center,2026-04-11,62.7,Completed
"Denver, CO",Tire Rotation,Service Center,2026-04-11,89.9,Completed
"Seattle, WA",12V Battery Service,Service Center,2026-04-11,77.7,Completed
"Denver, CO",Warranty Repair,Mobile Service,2026-04-11,77.3,Completed
"Austin, TX",Collision Repair,Service Center,2026-04-11,100.0,Cancelled
"Denver, CO",12V Battery Service,Service Center,2026-04-11,91.8,Completed
"Seattle, WA",Collision Repair,Service Center,2026-04-11,60.6,Completed
"Denver, CO",Tire Rotation,Mobile Service,2026-04-11,89.5,Cancelled
"Chicago, IL",Warranty Repair,Service Center,2026-04-11,82.4,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Mobile Service,2026-04-11,100.0,Cancelled
"Denver, CO",Collision Repair,Service Center,2026-04-11,78.9,Cancelled
"Chicago, IL",Brake Fluid/Caliper Service,Mobile Service,2026-04-11,100.0,Completed
"Denver, CO",Tire Rotation,Service Center,2026-04-11,78.6,Rescheduled
"Chicago, IL",Collision Repair,Mobile Service,2026-04-11,97.9,Completed
"Denver, CO",Alignment,Service Center,2026-04-11,61.4,Cancelled
"Austin, TX",12V Battery Service,Mobile Service,2026-04-11,76.4,Rescheduled
"Chicago, IL",Collision Repair,Service Center,2026-04-11,49.5,Completed
"Toronto, ON",Tire Rotation,Service Center,2026-04-11,71.1,Cancelled
"Austin, TX",12V Battery Service,Mobile Service,2026-04-11,56.2,Cancelled
"Seattle, WA",Warranty Repair,Service Center,2026-04-11,88.0,Completed
"Denver, CO",Tire Rotation,Mobile Service,2026-04-11,64.6,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-04-11,83.2,Completed
"Denver, CO",Collision Repair,Service Center,2026-04-11,86.8,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Service Center,2026-04-11,100.0,Rescheduled
"Denver, CO",Tire Rotation,Mobile Service,2026-04-11,55.1,Rescheduled
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-04-11,86.8,Rescheduled
"Fremont, CA",Warranty Repair,Service Center,2026-04-11,61.7,Cancelled
"Seattle, WA",Cabin/HEPA Filter Replacement,Collision Center,2026-04-11,60.6,Rescheduled
"Austin, TX",Cabin/HEPA Filter Replacement,Collision Center,2026-04-11,89.8,Cancelled
"Toronto, ON",12V Battery Service,Service Center,2026-04-11,79.0,Cancelled
"Chicago, IL",Warranty Repair,Mobile Service,2026-04-11,70.6,Completed
"Chicago, IL",12V Battery Service,Mobile Service,2026-04-11,70.2,Cancelled
"Austin, TX",Alignment,Mobile Service,2026-04-11,77.6,Completed
"Austin, TX",12V Battery Service,Service Center,2026-04-11,98.1,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-11,87.3,Completed
"Austin, TX",Tire Rotation,Mobile Service,2026-04-11,60.4,Rescheduled
"Toronto, ON",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-11,44.7,Completed
"Denver, CO",Collision Repair,Service Center,2026-04-11,31.3,Completed
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-04-11,72.1,Rescheduled
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-04-12,76.4,Completed
"Chicago, IL",Warranty Repair,Service Center,2026-04-12,86.9,Cancelled
"Austin, TX",Brake Fluid/Caliper Service,Mobile Service,2026-04-12,72.6,Completed
"Toronto, ON",12V Battery Service,Service Center,2026-04-12,52.7,Completed
"Austin, TX",Warranty Repair,Service Center,2026-04-12,85.6,Completed
"Seattle, WA",Collision Repair,Mobile Service,2026-04-12,79.0,Cancelled
"Austin, TX",Alignment,Mobile Service,2026-04-12,91.7,Completed
"Denver, CO",Collision Repair,Service Center,2026-04-12,58.2,Rescheduled
"Denver, CO",Brake Fluid/Caliper Service,Mobile Service,2026-04-12,92.9,Rescheduled
"Fremont, CA",Tire Rotation,Service Center,2026-04-12,76.2,Completed
"Toronto, ON",12V Battery Service,Mobile Service,2026-04-12,89.7,Completed
"Seattle, WA",12V Battery Service,Mobile Service,2026-04-12,72.5,Rescheduled
"Austin, TX",12V Battery Service,Service Center,2026-04-12,39.3,Cancelled
"Denver, CO",12V Battery Service,Mobile Service,2026-04-12,97.6,Completed
"Austin, TX",Alignment,Mobile Service,2026-04-12,71.5,Completed
"Seattle, WA",Tire Rotation,Mobile Service,2026-04-12,77.5,Cancelled
"Denver, CO",Collision Repair,Service Center,2026-04-12,75.6,Completed
"Denver, CO",Alignment,Service Center,2026-04-12,83.7,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-04-12,84.0,Cancelled
"Chicago, IL",Tire Rotation,Service Center,2026-04-12,62.2,Completed
"Austin, TX",Alignment,Mobile Service,2026-04-12,83.9,Cancelled
"Chicago, IL",Collision Repair,Service Center,2026-04-12,83.1,Completed
"Seattle, WA",Alignment,Service Center,2026-04-12,66.2,Cancelled
"Fremont, CA",12V Battery Service,Service Center,2026-04-12,75.3,Cancelled
"Fremont, CA",Collision Repair,Service Center,2026-04-12,58.4,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-12,71.8,Completed
"Toronto, ON",Warranty Repair,Service Center,2026-04-12,85.3,Cancelled
"Austin, TX",Brake Fluid/Caliper Service,Mobile Service,2026-04-12,71.8,Cancelled
"Toronto, ON",Tire Rotation,Mobile Service,2026-04-12,77.4,Completed
"Denver, CO",Warranty Repair,Service Center,2026-04-12,72.2,Cancelled
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-04-12,77.3,Completed
"Seattle, WA",Collision Repair,Service Center,2026-04-12,84.9,Completed
"Chicago, IL",Collision Repair,Service Center,2026-04-12,100.0,Rescheduled
"Fremont, CA",12V Battery Service,Service Center,2026-04-12,93.7,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-04-12,88.4,Cancelled
"Austin, TX",Brake Fluid/Caliper Service,Mobile Service,2026-04-12,71.5,Cancelled
"Denver, CO",Tire Rotation,Service Center,2026-04-12,75.5,Rescheduled
"Austin, TX",Collision Repair,Mobile Service,2026-04-12,69.7,Rescheduled
"Fremont, CA",Tire Rotation,Service Center,2026-04-12,78.1,Cancelled
"Seattle, WA",Collision Repair,Service Center,2026-04-12,62.8,Rescheduled
"Chicago, IL",12V Battery Service,Service Center,2026-04-12,69.8,Completed
"Toronto, ON",12V Battery Service,Service Center,2026-04-12,96.9,Completed
"Toronto, ON",Alignment,Service Center,2026-04-12,95.8,Completed
"Chicago, IL",Alignment,Mobile Service,2026-04-12,70.8,Completed
"Fremont, CA",12V Battery Service,Mobile Service,2026-04-13,76.5,Cancelled
"Austin, TX",12V Battery Service,Service Center,2026-04-13,74.2,Completed
"Austin, TX",Alignment,Service Center,2026-04-13,82.6,Completed
